item,itemLabel,startDate,endDate
Q3301954,Mawampanga Mwana Nanga,1999-03,2000-11
Q3087043,Freddy Matungulu,2001-04,2003-02
Q3271517,Léonard Luongwe,2003-02,2003-06
Q3317906,Modeste Mutombo Kyamakosa,2003-06,2003-09
Q516526,André-Philippe Futa,2003-09,2005-11
Q3290052,Marco Banguli,2005-11,2007-02
Q2868988,Athanase Matenda Kyelu,2007-02,2010-02
Q57883,Augustin Matata Ponyo,2010-02,2012-04
Q107141721,Patrice Kitebi,2012-04,2014-12
Q19631192,Henri Yav Mulang,2014-12,2019-08
Q90354281,José Sele Yalaghuli,2019-08,2021-04
Q62066858,Nicolas Kazadi,2021-04,
