areaLabel,itemLabel
Kasaï-Central,Monalux Monaciebe
Kasaï-Central,Ida Kamoji
Kasaï-Central,Denis Kambayi
Kasaï-Central,Mwawatadi Boni
Tshopo,Madeleine Mikomba
Tshopo,Mike Mosisi
Tshopo,Fikilii Alimasi
Tshopo,Bahikita Jams
Tshuapa,Boongo Nkoy Pancrace
Tshuapa,Bakonga Willy
Tshuapa,Guy Loando
Tshuapa,Fidèle Likinda
Haut-Lomami,Kabamba wa Ilunga Isabelle
Haut-Lomami,kabuya lumona Sangwa Celestin
Haut-Lomami,Ilunga Kitombolwe Alain
Haut-Lomami,Kapya Ntumba
Tanganyika,Katumwa Mukalay Vicky
Tanganyika,Mwando Katempa
Tanganyika,Mukalay Kionde Célestine Hortense
Tanganyika,Kabwe Mwehu longo Isidore
Ituri,Tibasima Atenyi
Ituri,Autsai Asenga
Ituri,Pierrot Uweka
Ituri,Jonas Mumbere
Mongala,Manzia Andia Dieudonné
Mongala,Moleka Liambi Jean de Dieu
Mongala,Bolingo Botakile Denise
Mongala,Mbonga magalu engwanda Louis
Kongo-Central,Pamphile Badu wa Badu
Kongo-Central,Ngudianza Bayokisa Kisula Nefertiti
Kongo-Central,Muaka Muaka Roger
Kongo-Central,Lelo Nzazi Rolly
Kinshasa,Didier Mumengi
Kinshasa,Rubuye Hakizimwami
Kinshasa,Patrick Lubala Birhashirwa
Kinshasa,Gerengo Valentin
Kinshasa,Saladia Augustin
Kinshasa,Ziaka Angelani
Kinshasa,Idambituo Bakaato
Kinshasa,Ngambani Adonis
Nord-Ubangi,Bale Bila Basile
Nord-Ubangi,Mobutu Giala Kasa Albert Philippe
Nord-Ubangi,Zagbalafio Angala Angala Jean Pierre
Nord-Ubangi,Kpama Baramoto Kata Philippe
Sud-Ubangi,Françoise Bemba Ndokwa
Sud-Ubangi,Sanguma Mossai
Sud-Ubangi,José Makila Sumanda
Sud-Ubangi,Busa Togba Jean Lucien
Lomami,Gabriel Kazadi Ngoyi
Lomami,Musaas manyong Jean-Claude
Lomami,Mutombo Mbwebwe Hyppolyte
Lomami,Kazadi Nyembue Dieudonne
Equateur,José Endundo
Equateur,Michel Bongongo
Equateur,Tristan Etumba
Equateur,Mokolo wa Pombo
Haut-Katanga,Francine Muyumba
Haut-Katanga,Pande Kapopo
Haut-Katanga,Goya Bijou
Haut-Katanga,Kanyimbu Shindani Michel
Kwilu,Ida Nzumba
Kwilu,Inioki Sacre
Kwilu,Kamitatu Sona
Kwilu,Jean philbert Mabaya
Sud-Kivu,Bahati Lukwebo
Sud-Kivu,Pierre Lumbi
Sud-Kivu,Miruho Mugorozi
Sud-Kivu,Espérance M'baharanyi
Kwango,André Kimbuta
Kwango,Mangiadi Kifulu Aimé Patiance
Kwango,Bulasung Fanata Natalie
Kwango,Lukamata Nkulu Colette
Haut-Uele,Christoph Baseane Nangaa Christophe
Haut-Uele,Jean-Pierre Lola Kisanga
Haut-Uele,Bakomito Ngabu Jean
Haut-Uele,Batumoko Afozunde Jean-Pierre
Kasaï,Évariste Boshab
Kasaï,Miyamba Ngove
Kasaï,Nkole Tshimuanga
Kasaï,Luese Bakwa Moyo
Bas-Uele,Laurent Munzangisa
Bas-Uele,Tshikez Diemo
Bas-Uele,Mwenda Munongo
Bas-Uele,Kaumba Lufunfa
Maniema,Alexis Thambwe Mwamba
Maniema,Augustin Matata Ponyo
Maniema,Assumani Amani
Maniema,Jérôme Bikenge
Kasai Oriental,Alphonse Ngoyi Kasanji
Kasai Oriental,François Mwamba
Kasai Oriental,Samy Badibanga
Kasai Oriental,Auguy Ilunga
